Time;Open;High;Low;Close;TickVolume;RealVolume;Spread;AskClose
2026.01.23 00:00:00;0.870540;0.870830;0.870080;0.870420;2840;0;12;0.870540
2026.01.23 01:00:00;0.870420;0.870650;0.870380;0.870600;1354;0;14;0.870740
2026.01.23 02:00:00;0.870600;0.870610;0.870330;0.870400;2153;0;14;0.870540
2026.01.23 03:00:00;0.870400;0.870490;0.870200;0.870370;3064;0;14;0.870510
2026.01.23 04:00:00;0.870380;0.870580;0.870270;0.870420;1983;0;14;0.870560
2026.01.23 05:00:00;0.870420;0.870610;0.870340;0.870450;1923;0;14;0.870590
2026.01.23 06:00:00;0.870450;0.870540;0.870310;0.870480;1313;0;12;0.870600
2026.01.23 07:00:00;0.870460;0.870650;0.870400;0.870440;1608;0;13;0.870570
2026.01.23 08:00:00;0.870440;0.870820;0.870350;0.870740;2998;0;13;0.870870
2026.01.23 09:00:00;0.870740;0.870740;0.869210;0.869730;3881;0;12;0.869850
2026.01.23 10:00:00;0.869730;0.870320;0.869420;0.869460;3579;0;12;0.869580
2026.01.23 11:00:00;0.869460;0.869650;0.867140;0.867270;3614;0;12;0.867390
2026.01.23 12:00:00;0.867270;0.867580;0.866660;0.867400;2755;0;12;0.867520
2026.01.23 13:00:00;0.867400;0.868380;0.867160;0.868180;3316;0;12;0.868300
2026.01.23 14:00:00;0.868190;0.868240;0.867690;0.867890;2437;0;12;0.868010
2026.01.23 15:00:00;0.867890;0.868000;0.867330;0.867500;2801;0;12;0.867620
2026.01.23 16:00:00;0.867500;0.868260;0.867490;0.867660;3095;0;12;0.867780
2026.01.23 17:00:00;0.867610;0.867750;0.866580;0.866740;3389;0;12;0.866860
2026.01.23 18:00:00;0.866740;0.866800;0.865740;0.866150;4600;0;12;0.866270
2026.01.23 19:00:00;0.866150;0.866850;0.865980;0.866620;6274;0;12;0.866740
2026.01.23 20:00:00;0.866620;0.866700;0.866200;0.866640;4832;0;12;0.866760
2026.01.23 21:00:00;0.866640;0.867000;0.866430;0.866920;3262;0;12;0.867040
2026.01.23 22:00:00;0.866920;0.867140;0.866740;0.866760;3587;0;12;0.866880
2026.01.23 23:00:00;0.866760;0.867280;0.866380;0.867000;4313;0;13;0.867130
2026.01.26 00:00:00;0.867420;0.869230;0.866870;0.868960;1412;0;23;0.869190
2026.01.26 01:00:00;0.868960;0.869650;0.867780;0.867870;5035;0;12;0.867990
2026.01.26 02:00:00;0.867850;0.868580;0.867730;0.867780;5199;0;13;0.867910
2026.01.26 03:00:00;0.867840;0.868120;0.867470;0.867910;5071;0;12;0.868030
2026.01.26 04:00:00;0.867910;0.868210;0.867880;0.868100;3765;0;12;0.868220
2026.01.26 05:00:00;0.868100;0.868370;0.868020;0.868310;2431;0;14;0.868450
2026.01.26 06:00:00;0.868310;0.868460;0.868040;0.868070;2085;0;12;0.868190
2026.01.26 07:00:00;0.868070;0.868340;0.867980;0.868060;1830;0;12;0.868180
2026.01.26 08:00:00;0.868060;0.868070;0.867540;0.867770;2598;0;14;0.867910
2026.01.26 09:00:00;0.867770;0.867890;0.867180;0.867440;3788;0;13;0.867570
2026.01.26 10:00:00;0.867450;0.867980;0.867280;0.867510;4890;0;12;0.867630
2026.01.26 11:00:00;0.867510;0.867890;0.866820;0.867650;3788;0;13;0.867780
2026.01.26 12:00:00;0.867650;0.867770;0.867040;0.867500;3071;0;12;0.867620
2026.01.26 13:00:00;0.867510;0.867550;0.866920;0.867450;2952;0;12;0.867570
